section,table_column_1,table_column_2,table_column_3,table_column_4,table_column_5
二、经营与财务指标,指标,2025H1,2026H1,同比变化,风险提示
二、经营与财务指标,营业收入,12.8 亿元,15.4 亿元,+20.3%,订单增长较快
二、经营与财务指标,毛利率,31.2%,29.6%,-1.6pct,原材料价格上行
二、经营与财务指标,经营现金流,1.9 亿元,0.8 亿元,-57.9%,回款周期延长
二、经营与财务指标,应收账款周转天数,74 天,96 天,+22 天,赊销压力上升
二、经营与财务指标,存货周转天数,88 天,104 天,+16 天,备货周期拉长
三、授信风险矩阵,风险项,当前状态,阈值,评级影响,处置建议
三、授信风险矩阵,资产负债率,64.8%,不高于 70%,稳定,维持季度跟踪
三、授信风险矩阵,前五大客户收入占比,48.5%,不高于 45%,关注,补充客户分散计划
三、授信风险矩阵,逾期应收款占比,6.2%,不高于 5%,关注,要求回款专项台账
三、授信风险矩阵,短债覆盖倍数,1.18x,不低于 1.20x,轻微承压,保留提款节奏限制
四、现金流压力测试,情景,回款假设,经营现金流,短债覆盖倍数,授信建议
四、现金流压力测试,基准,主要客户按合同回款,1.6 亿元,1.24x,维持额度
四、现金流压力测试,轻度压力,回款平均延迟 30 天,0.9 亿元,1.11x,限制新增提款
四、现金流压力测试,重度压力,回款平均延迟 45 天,0.3 亿元,0.96x,暂停新增敞口
五、整改事项跟踪,事项,责任部门,到期时间,当前进展,贷后要求
五、整改事项跟踪,客户集中度压降,销售中心,2026-09-30,已提交替代客户名单,每月更新订单转化
五、整改事项跟踪,逾期应收款清收,财务中心,2026-08-31,完成 42% 回款,提供回款流水
五、整改事项跟踪,存货库龄治理,供应链中心,2026-10-15,长库龄物料重分类,提交跌价测试
